title,summary,link,published_at,source,source_type
ETF inflows drive silver to multi-year highs,ETF inflows drive silver to multi-year highs Market analysts weigh in on recent trends.,https://example.com/news/0,2019-01-01,Kitco,sample
Economic uncertainty boosts precious metals demand,Economic uncertainty boosts precious metals demand Market analysts weigh in on recent trends.,https://example.com/news/1,2019-01-02,Mining.com,sample
Technical breakout signals silver rally ahead,Technical breakout signals silver rally ahead Market analysts weigh in on recent trends.,https://example.com/news/3,2019-01-04,Reuters,sample
Inflation expectations drive precious metals,Inflation expectations drive precious metals Market analysts weigh in on recent trends.,https://example.com/news/4,2019-01-05,Mining.com,sample
Silver manipulation lawsuit updates,Silver manipulation lawsuit updates Market analysts weigh in on recent trends.,https://example.com/news/5,2019-01-06,Kitco,sample
Central bank gold purchases reach record levels,Central bank gold purchases reach record levels Market analysts weigh in on recent trends.,https://example.com/news/6,2019-01-07,Mining.com,sample
Physical silver premiums rise globally,Physical silver premiums rise globally Market analysts weigh in on recent trends.,https://example.com/news/7,2019-01-08,Mining.com,sample
Silver outperforms gold in recent rally,Silver outperforms gold in recent rally Market analysts weigh in on recent trends.,https://example.com/news/9,2019-01-10,Bloomberg,sample
Dollar weakness supports gold and silver,Dollar weakness supports gold and silver Market analysts weigh in on recent trends.,https://example.com/news/11,2019-01-12,Kitco,sample
Recession fears drive safe-haven demand,Recession fears drive safe-haven demand Market analysts weigh in on recent trends.,https://example.com/news/13,2019-01-14,Kitco,sample
Green energy transition boosts silver demand,Green energy transition boosts silver demand Market analysts weigh in on recent trends.,https://example.com/news/14,2019-01-15,Kitco,sample
"Federal Reserve signals rate hike, metals react","Federal Reserve signals rate hike, metals react Market analysts weigh in on recent trends.",https://example.com/news/15,2019-01-16,Kitco,sample
"Silver supply deficit widens, analysts bullish","Silver supply deficit widens, analysts bullish Market analysts weigh in on recent trends.",https://example.com/news/19,2019-01-20,Bloomberg,sample
Silver prices surge as industrial demand rises,Silver prices surge as industrial demand rises Market analysts weigh in on recent trends.,https://example.com/news/20,2019-01-21,Kitco,sample
Gold hits new high amid inflation concerns,Gold hits new high amid inflation concerns Market analysts weigh in on recent trends.,https://example.com/news/23,2019-01-24,Mining.com,sample
Mining stocks surge with metal prices,Mining stocks surge with metal prices Market analysts weigh in on recent trends.,https://example.com/news/30,2019-01-31,Mining.com,sample
Gold-silver ratio hits critical level,Gold-silver ratio hits critical level Market analysts weigh in on recent trends.,https://example.com/news/41,2019-02-11,Reuters,sample
Silver industrial applications expand in solar,Silver industrial applications expand in solar Market analysts weigh in on recent trends.,https://example.com/news/46,2019-02-16,Mining.com,sample
COMEX silver inventories fall sharply,COMEX silver inventories fall sharply Market analysts weigh in on recent trends.,https://example.com/news/58,2019-02-28,Kitco,sample
Mining output declines in major producing countries,Mining output declines in major producing countries Market analysts weigh in on recent trends.,https://example.com/news/71,2019-03-13,Bloomberg,sample
